iter Noise Position TauMean TauVar KsiMean KsiVar Delta#1 Beta#1 S#1 NuMean NuVar
0 1.41999 0.0346476 74.9862 0.0310624 0 0.000892119 -0.0486491 0.0434086 0 -0.00362174 0.00196843
100 1.15058 0.137444 73.3828 1.564 0 0.000888217 -0.0753842 0.0428144 0 -0.0126021 0.00242536
200 0.890488 0.230296 71.7234 6.68784 0 0.000890806 -0.0920167 0.0315594 0 -0.0217361 0.00286889
300 0.656262 0.328526 70.6287 16.3807 0 0.000884222 -0.0899001 0.0284612 0 -0.028345 0.00309291
400 0.487523 0.406149 70.222 28.5491 0 0.000874767 -0.0763807 0.0290583 0 -0.0332409 0.00340468
500 0.353729 0.487484 70.3152 40.2018 0 0.000878642 -0.0667776 0.0312051 0 -0.0399184 0.00317912
600 0.265461 0.569593 70.9945 49.1433 0 0.000874812 -0.0566599 0.031635 0 -0.0439618 0.0034022
700 0.216759 0.656014 71.9671 54.9422 0 0.000881089 -0.0560127 0.0303292 0 -0.0470057 0.00342426
800 0.201218 0.668314 72.3214 56.4006 0 0.000889871 -0.053249 0.0307661 0 -0.0491967 0.00402055
900 0.192001 0.669038 72.1761 55.7589 0 0.000894368 -0.0564112 0.0322629 0 -0.0478454 0.00466449
1000 0.181166 0.664884 71.9953 55.3405 0 0.000894153 -0.0588011 0.035427 0 -0.0505613 0.00510143
1100 0.174727 0.667133 71.932 55.1032 0 0.000891361 -0.0577978 0.0364471 0 -0.0511156 0.00561966
1200 0.167642 0.66707 71.8619 54.6809 0 0.000887343 -0.0438594 0.0418065 0 -0.0503946 0.00587784
1300 0.162415 0.663489 71.7413 54.7764 0 0.000885743 -0.0289229 0.0448954 0 -0.051451 0.00629318
1400 0.157445 0.665825 71.6448 54.6609 0 0.000883442 -0.0295161 0.0532982 0 -0.0497537 0.00603014
1500 0.153426 0.660508 71.5322 54.7489 0 0.000888411 -0.034087 0.0620087 0 -0.0523815 0.00601619
1600 0.15026 0.655151 71.3305 55.0416 0 0.000887749 -0.0346863 0.0612567 0 -0.0527405 0.00555626
1700 0.146797 0.656788 71.2412 54.934 0 0.000888253 -0.0259244 0.0603458 0 -0.0517303 0.00563577
1800 0.143295 0.654228 71.1519 55.0417 0 0.000887786 -0.00792798 0.0628824 0 -0.0525578 0.00582658
1900 0.140763 0.652768 71.1542 54.7359 0 0.000900103 0.00224333 0.0714948 0 -0.0532956 0.00589539
2000 0.139405 0.648266 71.0772 54.7788 0 0.000902731 -0.0119222 0.0667474 0 -0.0528389 0.00578635
2100 0.137632 0.648415 70.9993 54.6247 0 0.000899888 -0.00213835 0.0638277 0 -0.0523899 0.00587574
2200 0.136191 0.650287 71.0096 54.3732 0 0.000898904 0.0100142 0.0693788 0 -0.0519307 0.00595777
2300 0.134652 0.654154 70.9295 54.2291 0 0.000900347 0.0297494 0.0669048 0 -0.0503006 0.0058527
2400 0.133453 0.652433 70.9068 54.1825 0 0.000904559 0.0361702 0.0678057 0 -0.0499216 0.0060243
2500 0.132379 0.65018 70.9145 54.3011 0 0.000908498 0.0236409 0.0597949 0 -0.0507022 0.00604261
2600 0.132014 0.647011 70.9077 54.3131 0 0.00091074 0.0264608 0.0588603 0 -0.0513471 0.00611947
2700 0.130332 0.644403 70.7737 54.3435 0 0.000913842 0.0100196 0.0577753 0 -0.0513916 0.00606451
2800 0.129756 0.641248 70.806 54.2178 0 0.000928121 0.00461484 0.0536091 0 -0.0525184 0.00609024
2900 0.129554 0.638941 70.8222 54.1577 0 0.000933704 0.0131144 0.047337 0 -0.0534513 0.00616972
3000 0.129047 0.638969 70.7997 53.9971 0 0.000931886 0.00928661 0.0475282 0 -0.0530896 0.00618618
3100 0.128818 0.635048 70.7924 54.0709 0 0.000941858 0.0125413 0.0495547 0 -0.0535481 0.00619385
3200 0.128491 0.632569 70.7968 54.1025 0 0.000943136 0.00848024 0.0475291 0 -0.05388 0.00624529
3300 0.12876 0.62817 70.7882 54.181 0 0.000941699 0.0111156 0.0536307 0 -0.0556117 0.0061789
3400 0.128676 0.625511 70.7686 53.9836 0 0.000946483 0.013337 0.0562493 0 -0.0560792 0.00617656
3500 0.128493 0.625078 70.7415 54.0906 0 0.000946143 0.0210136 0.0547633 0 -0.0557728 0.00628179
3600 0.128523 0.623193 70.7483 53.8926 0 0.000952531 0.0253746 0.0501739 0 -0.0562605 0.00633813
3700 0.128423 0.621232 70.7066 53.9917 0 0.000953912 0.0226077 0.0576642 0 -0.0563775 0.00632896
3800 0.12868 0.622362 70.7066 53.9422 0 0.000953714 0.0276094 0.0580521 0 -0.0558179 0.00645087
3900 0.128445 0.617784 70.6544 53.8756 0 0.000961405 0.0340764 0.0499964 0 -0.057227 0.00633517
4000 0.128183 0.616446 70.5417 54.0097 0 0.000964227 0.0315462 0.0469762 0 -0.0554058 0.00626737
4100 0.127993 0.61569 70.53 53.9275 0 0.000965215 0.0240246 0.0473573 0 -0.0545654 0.00634175
4200 0.127913 0.614354 70.5334 53.6974 0 0.000965754 0.0306003 0.0493995 0 -0.0541169 0.00644642
4300 0.128245 0.610698 70.4079 54.042 0 0.000969787 0.0305673 0.0501786 0 -0.053931 0.00636203
4400 0.128118 0.607921 70.3186 53.783 0 0.000967756 0.038852 0.0478608 0 -0.0537391 0.00623053
4500 0.128138 0.608703 70.3416 53.8357 0 0.000971677 0.0364369 0.0428236 0 -0.0529056 0.00638274
4600 0.128736 0.606129 70.3316 53.9651 0 0.000976873 0.0398686 0.0487536 0 -0.0529056 0.00638274
4700 0.129056 0.602506 70.3018 53.7995 0 0.000987396 0.0343318 0.047627 0 -0.0531318 0.00636317
4800 0.12882 0.601901 70.2522 53.7796 0 0.000986818 0.0357126 0.0490679 0 -0.0533073 0.00624913
4900 0.129316 0.599628 70.2677 53.689 0 0.000988891 0.0255293 0.0548378 0 -0.0536475 0.00635807
5000 0.128831 0.596699 70.2343 53.8432 0 0.000990706 0.028125 0.0637727 0 -0.0529722 0.00643835
5100 0.128908 0.596984 70.2691 53.7496 0 0.000995043 0.0285936 0.0668623 0 -0.0522245 0.00648714
5200 0.129408 0.595997 70.2982 53.545 0 0.0010031 0.0171932 0.0634094 0 -0.0518571 0.00648833
5300 0.129019 0.598365 70.2767 53.3809 0 0.00100184 0.0352509 0.0615255 0 -0.0508416 0.00658906
5400 0.128653 0.59664 70.2521 53.3024 0 0.00100318 0.0541172 0.0602235 0 -0.0511361 0.00656085
5500 0.128927 0.593341 70.2406 53.3002 0 0.000999801 0.0592264 0.0673303 0 -0.051489 0.00657888
5600 0.129253 0.589199 70.2477 53.4221 0 0.00100137 0.060314 0.0609754 0 -0.051902 0.00655977
5700 0.129419 0.586919 70.2716 53.2799 0 0.00100208 0.0465184 0.0707546 0 -0.0519059 0.00661457
5800 0.128793 0.58668 70.3049 53.1549 0 0.00100036 0.0415911 0.074533 0 -0.0520137 0.00672723
5900 0.128978 0.582499 70.3098 52.9768 0 0.00100709 0.0444843 0.0762973 0 -0.0531135 0.00667398
6000 0.128378 0.582127 70.2152 52.9173 0 0.00101122 0.0459049 0.0771664 0 -0.0518345 0.00660202
6100 0.128136 0.582621 70.2038 52.9968 0 0.00102252 0.0388929 0.074701 0 -0.0513508 0.00667584
6200 0.128329 0.581921 70.1761 52.9461 0 0.00101704 0.0426079 0.0788472 0 -0.0509763 0.00665647
6300 0.128847 0.580459 70.1565 52.893 0 0.00102009 0.0471005 0.0795313 0 -0.0507776 0.00669316
6400 0.128974 0.575284 70.1209 52.8317 0 0.00102183 0.0393527 0.0790037 0 -0.0512922 0.00671171
6500 0.128867 0.574217 70.1442 52.7504 0 0.00102823 0.0389402 0.0816368 0 -0.0512415 0.00675156
6600 0.129135 0.575204 70.1272 52.6388 0 0.00103583 0.046783 0.0905429 0 -0.050356 0.0067684
6700 0.129353 0.573763 70.1256 52.5446 0 0.00103844 0.0597386 0.0903726 0 -0.050167 0.00681432
6800 0.129492 0.571392 70.0887 52.5747 0 0.00103699 0.0460336 0.0910837 0 -0.0501968 0.00680468
6900 0.12953 0.568448 70.1177 52.484 0 0.00104053 0.0406059 0.0845193 0 -0.050849 0.0068303
7000 0.129636 0.567662 70.0626 52.5405 0 0.00103994 0.0506754 0.0821266 0 -0.050223 0.00678784
7100 0.129605 0.56566 70.0289 52.4047 0 0.00104604 0.0637885 0.0793138 0 -0.0503865 0.00677344
7200 0.130061 0.561805 69.9719 52.5032 0 0.00105412 0.0585103 0.0756015 0 -0.0508965 0.00669107
7300 0.130246 0.557016 69.8944 52.7309 0 0.00105871 0.0662226 0.0800378 0 -0.0510137 0.00651789
7400 0.130323 0.554865 69.8598 52.5595 0 0.00106718 0.0702565 0.0776015 0 -0.050807 0.00647458
7500 0.130557 0.55288 69.825 52.5388 0 0.00106832 0.0810702 0.0718503 0 -0.0507381 0.00652185
7600 0.131038 0.550761 69.7663 52.5387 0 0.00107179 0.0892551 0.0667277 0 -0.050536 0.00646009
7700 0.131183 0.555821 69.855 52.2837 0 0.00107422 0.0851586 0.0691084 0 -0.0491277 0.00664982
7800 0.130664 0.55513 69.8075 52.0326 0 0.00108973 0.0883678 0.064039 0 -0.0481588 0.00657078
7900 0.131129 0.552323 69.7673 52.0697 0 0.00109061 0.0922963 0.0678508 0 -0.0479621 0.00657005
8000 0.131127 0.550654 69.7728 52.016 0 0.00109562 0.089593 0.068597 0 -0.0477938 0.00657009
8100 0.131632 0.548408 69.762 52.0557 0 0.00110246 0.0844164 0.0677901 0 -0.0474645 0.0066337
8200 0.131736 0.547397 69.8001 51.9424 0 0.00110686 0.0778318 0.0676951 0 -0.0477243 0.00669182
8300 0.131091 0.551006 69.7563 52.0055 0 0.00111024 0.0764909 0.0683509 0 -0.0461966 0.006721
8400 0.131235 0.547903 69.6987 51.9216 0 0.00111487 0.0808621 0.074435 0 -0.0464731 0.00673736
8500 0.131006 0.543951 69.6922 51.9653 0 0.00110972 0.0908525 0.073888 0 -0.0468249 0.0067306
8600 0.130649 0.542219 69.7321 51.8224 0 0.00111427 0.0908946 0.0629521 0 -0.0471386 0.00671683
8700 0.130525 0.53949 69.727 51.9227 0 0.00111732 0.0808404 0.0681881 0 -0.0472731 0.00657865
8800 0.130695 0.539102 69.74 51.6982 0 0.00111479 0.0787308 0.0648587 0 -0.0471142 0.00658771
8900 0.13088 0.536561 69.7161 51.7645 0 0.00111566 0.0750702 0.0658224 0 -0.0471142 0.00658771
9000 0.131383 0.53736 69.7203 51.7213 0 0.00112024 0.0801246 0.0601405 0 -0.0463877 0.00669688
9100 0.131336 0.535792 69.7289 51.5856 0 0.00112415 0.0772357 0.0658113 0 -0.046526 0.00667452
9200 0.131657 0.533429 69.7256 51.6593 0 0.00112898 0.0850838 0.067573 0 -0.046526 0.00667452
9300 0.132057 0.530374 69.6851 51.6611 0 0.00113445 0.0758941 0.0645324 0 -0.046526 0.00667452
9400 0.132013 0.528294 69.6859 51.656 0 0.00113738 0.0748941 0.066753 0 -0.046526 0.00667452
9500 0.132404 0.526093 69.6826 51.6547 0 0.00113833 0.0530001 0.0640904 0 -0.0464083 0.0066689
