iter Noise PMean PVar NuMean NuVar TauMean TauVar KsiMean KsiVar Beta#1 S#1
0 23.9892 1.94711 0.000991407 0.00441588 0.00101474 67.9554 0.0244797 0 3.79207 -0.0182121 0
100 23.0751 1.9455 0.0010556 0.0103644 0.00149766 66.9503 0.220619 0 3.78442 -0.0193358 0
200 21.8207 1.94365 0.00111385 0.0173523 0.00198117 65.1777 0.579633 0 3.77784 -0.0079789 0
300 20.5614 1.9423 0.00116782 0.0234366 0.00246314 63.2167 0.929653 0 3.77143 -0.00942311 0
400 19.0783 1.94054 0.00127411 0.0302064 0.00293126 61.1059 1.40635 0 3.76575 -0.0221228 0
500 17.5074 1.93866 0.00136883 0.0360755 0.00329614 58.8532 1.94971 0 3.75729 -0.0103476 0
600 15.9796 1.93699 0.00142069 0.0416375 0.00372642 56.5369 2.49488 0 3.75177 -0.0363776 0
700 14.4853 1.93524 0.00144897 0.0473341 0.00400845 54.2449 3.01079 0 3.74406 -0.0322263 0
800 12.8645 1.93288 0.00149058 0.0525674 0.00427446 51.9246 3.44619 0 3.73567 -0.0222798 0
900 11.1877 1.93051 0.00156558 0.0593524 0.0042606 49.5493 4.15922 0 3.72709 -0.0223212 0
1000 9.84231 1.92782 0.00163272 0.064467 0.00460382 47.1363 4.6269 0 3.718 -0.023329 0
1100 8.1828 1.9255 0.0016875 0.0706888 0.00453669 44.6931 5.19828 0 3.70965 -0.0158088 0
1200 7.03568 1.92361 0.00178559 0.0765276 0.00462625 42.2854 5.56441 0 3.70244 -0.01803 0
1300 5.86604 1.92173 0.0018842 0.0817102 0.00443783 39.8232 6.25552 0 3.69665 -0.0144346 0
1400 4.95215 1.91926 0.00193165 0.0864111 0.00450834 37.404 6.67656 0 3.68469 -0.0126467 0
1500 4.07702 1.91682 0.00199181 0.0913068 0.0044679 34.9313 6.95088 0 3.67375 -0.000907309 0
1600 3.35267 1.9151 0.00200825 0.0948986 0.00432538 32.3879 7.45738 0 3.66728 0.00300195 0
1700 2.71648 1.91332 0.00199619 0.0996391 0.00422487 29.8648 7.93675 0 3.65696 0.0214632 0
1800 2.13018 1.91194 0.00202279 0.104191 0.00398092 27.408 8.67448 0 3.65169 0.0278376 0
1900 1.74396 1.91076 0.00207478 0.108164 0.00390228 25.0051 9.62995 0 3.64839 0.0318445 0
2000 1.43427 1.90967 0.00205778 0.112 0.00378184 22.6806 10.9087 0 3.64732 0.0125015 0
2100 1.12647 1.90921 0.00208121 0.115069 0.0035327 20.5458 12.9117 0 3.6461 0.0217714 0
2200 0.932246 1.9082 0.00217633 0.117707 0.00321632 18.8534 16.9189 0 3.64435 0.0130412 0
2300 0.805901 1.90772 0.00223209 0.118787 0.00300168 17.8137 23.4484 0 3.64278 0.00516258 0
2400 0.691466 1.90754 0.00233113 0.121719 0.00282966 16.9121 30.4654 0 3.64079 0.0176577 0
2500 0.604249 1.90675 0.00239504 0.124116 0.0026415 17.0418 38.2903 0 3.6371 0.0187745 0
2600 0.546576 1.9067 0.00244036 0.125573 0.0026085 17.5283 44.0131 0 3.63843 0.0182405 0
2700 0.486971 1.90692 0.00253919 0.125854 0.00237735 17.4413 46.4648 0 3.64165 0.0222058 0
2800 0.430999 1.90598 0.00266293 0.127617 0.00216757 18.023 47.5828 0 3.63743 0.0134282 0
2900 0.38751 1.90516 0.00279731 0.128922 0.00209419 18.2097 48.1211 0 3.63464 0.00269438 0
3000 0.332418 1.90492 0.00288411 0.13166 0.0018887 18.7281 48.0519 0 3.63346 0.0139647 0
3100 0.305643 1.90418 0.00298625 0.132661 0.0017861 19.299 47.6984 0 3.63092 0.0355885 0
3200 0.292187 1.90439 0.00302884 0.1336 0.00173333 19.9504 47.7598 0 3.63189 0.0616206 0
3300 0.263528 1.9044 0.0031293 0.135636 0.00164091 20.6872 47.2688 0 3.6305 0.0715367 0
3400 0.244797 1.90492 0.00318131 0.137151 0.00160714 21.2978 47.1905 0 3.63298 0.0680247 0
3500 0.229455 1.90562 0.00327497 0.137408 0.00155289 21.332 46.9651 0 3.6374 0.0649088 0
3600 0.216522 1.90574 0.00337404 0.137699 0.00146899 21.5486 46.8793 0 3.63903 0.0690214 0
3700 0.203363 1.90561 0.00348942 0.138488 0.00138963 21.8952 46.8394 0 3.63951 0.0714743 0
3800 0.194851 1.90595 0.00355586 0.138801 0.0013247 21.6708 46.9406 0 3.63957 0.0799125 0
3900 0.187003 1.9053 0.00358648 0.139155 0.00129282 21.9966 46.8501 0 3.63539 0.109898 0
4000 0.180875 1.90575 0.00357288 0.139597 0.00126543 22.1603 46.708 0 3.63706 0.0997759 0
4100 0.175844 1.90522 0.00364272 0.139682 0.00124642 22.1522 46.7774 0 3.63512 0.097959 0
4200 0.169359 1.90518 0.0036757 0.139875 0.0011941 22.3049 46.8544 0 3.63587 0.104743 0
4300 0.161485 1.90495 0.00380769 0.139891 0.00115558 22.2314 46.6605 0 3.63422 0.094251 0
4400 0.156577 1.90475 0.00382742 0.140103 0.00115997 22.1851 46.726 0 3.6327 0.097765 0
4500 0.152313 1.90436 0.00390673 0.140103 0.00115997 22.2148 46.6351 0 3.62971 0.10123 0
4600 0.148365 1.90398 0.00400768 0.140074 0.00115222 22.2338 46.5807 0 3.62812 0.107037 0
4700 0.144389 1.9037 0.00411894 0.140329 0.00112967 22.3993 46.2784 0 3.62783 0.104722 0
4800 0.140031 1.90391 0.00421534 0.140485 0.00108372 22.447 46.3054 0 3.62954 0.0879643 0
4900 0.136621 1.90342 0.00428564 0.14031 0.00107897 22.5315 46.157 0 3.62728 0.0972829 0
5000 0.133614 1.90311 0.00448418 0.14031 0.00107897 22.5132 46.2701 0 3.62866 0.0973045 0
5100 0.130566 1.90308 0.00469802 0.14031 0.00107897 22.495 46.169 0 3.62837 0.0949399 0
5200 0.128884 1.90272 0.00483482 0.14031 0.00107897 22.474 46.1892 0 3.62845 0.108679 0
5300 0.12639 1.90229 0.0049323 0.14031 0.00107897 22.5198 46.2577 0 3.62641 0.118391 0
5400 0.124007 1.9023 0.00507184 0.14031 0.00107897 22.4612 46.2799 0 3.62728 0.119838 0
5500 0.120789 1.90175 0.00524063 0.140389 0.00106965 22.5657 46.1589 0 3.62765 0.10347 0
5600 0.11816 1.90172 0.00536598 0.140389 0.00106965 22.4631 46.3675 0 3.62797 0.091287 0
5700 0.116717 1.90205 0.00548378 0.140389 0.00106965 22.4098 46.519 0 3.62901 0.0671017 0
5800 0.114728 1.90191 0.00560104 0.140389 0.00106965 22.4039 46.3417 0 3.63048 0.0634358 0
